Date,Open,High,Low,Close,Adj Close,Volume,,,,
17/03/1980,290,310,290,290,290,100,,,,
18/03/1980,290,290,290,290,290,0,,,,
19/03/1980,290,310,290,290,290,200,,,,
20/03/1980,290,290,290,290,290,0,,,,
21/03/1980,290,290,290,290,290,0,,,,
24/03/1980,290,290,270,270,270,100,,,range in days,15323
25/03/1980,270,270,270,270,270,0,,,range in years,41.95
26/03/1980,270,270,270,270,270,0,,,,
27/03/1980,270,270,270,270,270,0,,,,
28/03/1980,270,270,270,270,270,0,,,,
31/03/1980,270,280,260,260,260,100,,,,
01/04/1980,260,280,260,260,260,300,,,,
02/04/1980,260,260,260,260,260,0,,,,
03/04/1980,260,280,260,260,260,100,,,,
07/04/1980,265,285,265,265,265,100,,,,
08/04/1980,265,285,265,265,265,100,,,,
09/04/1980,265,285,265,265,265,100,,,,
10/04/1980,265,280,260,260,260,900,,,,
11/04/1980,260,260,260,260,260,0,,,,
14/04/1980,260,275,255,255,255,200,,,,
15/04/1980,255,265,245,245,245,200,,,,
16/04/1980,245,245,245,245,245,0,,,,
17/04/1980,255,275,255,255,255,100,,,,
18/04/1980,255,275,255,255,255,200,,,,
21/04/1980,260,280,260,260,260,200,,,,
22/04/1980,260,260,260,260,260,0,,,,
23/04/1980,275,295,275,275,275,200,,,,
24/04/1980,275,295,275,275,275,100,,,,
25/04/1980,275,275,275,275,275,0,,,,
28/04/1980,275,275,275,275,275,0,,,,
29/04/1980,275,275,275,275,275,0,,,,
30/04/1980,275,275,275,275,275,0,,,,
01/05/1980,275,275,275,275,275,0,,,,
02/05/1980,275,275,275,275,275,0,,,,
05/05/1980,285,305,285,285,285,200,,,,
06/05/1980,285,285,285,285,285,0,,,,
07/05/1980,285,285,285,285,285,0,,,,
08/05/1980,285,285,285,285,285,0,,,,
09/05/1980,285,285,285,285,285,0,,,,
12/05/1980,285,285,285,285,285,0,,,,
13/05/1980,305,325,305,305,305,100,,,,
14/05/1980,305,305,305,305,305,0,,,,
15/05/1980,310,330,310,310,310,200,,,,
16/05/1980,310,330,310,310,310,100,,,,
19/05/1980,310,310,310,310,310,0,,,,
20/05/1980,310,330,310,310,310,200,,,,
21/05/1980,315,335,315,315,315,200,,,,
22/05/1980,315,335,315,315,315,100,,,,
23/05/1980,315,315,315,315,315,0,,,,
27/05/1980,315,315,315,315,315,0,,,,
28/05/1980,320,340,320,320,320,100,,,,
29/05/1980,320,320,320,320,320,0,,,,
30/05/1980,320,340,320,320,320,100,,,,
02/06/1980,320,330,310,310,310,200,,,,
03/06/1980,310,330,310,310,310,100,,,,
04/06/1980,310,310,310,310,310,0,,,,
05/06/1980,310,310,310,310,310,0,,,,
06/06/1980,310,310,310,310,310,0,,,,
09/06/1980,310,330,310,310,310,100,,,,
10/06/1980,315,335,315,315,315,100,,,,
11/06/1980,315,315,315,315,315,0,,,,
12/06/1980,320,340,320,320,320,200,,,,
13/06/1980,320,340,320,320,320,100,,,,
16/06/1980,320,320,320,320,320,0,,,,
17/06/1980,320,340,320,320,320,100,,,,
18/06/1980,320,320,320,320,320,0,,,,
19/06/1980,320,340,320,320,320,200,,,,
20/06/1980,320,330,310,310,310,100,,,,
23/06/1980,310,330,310,310,310,100,,,,
24/06/1980,310,310,310,310,310,0,,,,
25/06/1980,310,310,310,310,310,0,,,,
26/06/1980,310,310,310,310,310,0,,,,
27/06/1980,310,325,305,305,305,300,,,,
30/06/1980,305,305,305,305,305,0,,,,
01/07/1980,305,305,305,305,305,0,,,,
02/07/1980,305,305,305,305,305,0,,,,
03/07/1980,305,325,305,305,305,300,,,,
07/07/1980,310,325,310,310,310,100,,,,
08/07/1980,310,310,310,310,310,0,,,,
09/07/1980,310,310,310,310,310,0,,,,
10/07/1980,315,330,315,315,315,500,,,,
11/07/1980,320,335,320,320,320,200,,,,
14/07/1980,325,340,325,325,325,100,,,,
15/07/1980,335,345,335,335,335,200,,,,
16/07/1980,335,345,330,330,330,100,,,,
17/07/1980,330,345,325,325,325,100,,,,
18/07/1980,325,345,325,325,325,100,,,,
21/07/1980,325,325,325,325,325,0,,,,
22/07/1980,325,325,325,325,325,0,,,,
23/07/1980,325,325,325,325,325,0,,,,
24/07/1980,340,360,340,340,340,100,,,,
25/07/1980,340,340,340,340,340,0,,,,
28/07/1980,340,340,340,340,340,0,,,,
29/07/1980,340,340,340,340,340,0,,,,
30/07/1980,340,340,340,340,340,0,,,,
31/07/1980,340,340,340,340,340,0,,,,
01/08/1980,340,340,340,340,340,0,,,,
04/08/1980,345,365,345,345,345,100,,,,
05/08/1980,345,345,345,345,345,0,,,,
06/08/1980,345,360,345,345,345,400,,,,
07/08/1980,345,345,345,345,345,0,,,,
08/08/1980,360,380,360,360,360,100,,,,
11/08/1980,365,380,365,365,365,100,,,,
12/08/1980,375,390,375,375,375,100,,,,
13/08/1980,375,375,375,375,375,0,,,,
14/08/1980,375,375,375,375,375,0,,,,
15/08/1980,375,375,375,375,375,0,,,,
18/08/1980,375,390,370,370,370,100,,,,
19/08/1980,370,370,370,370,370,0,,,,
20/08/1980,370,370,370,370,370,0,,,,
21/08/1980,385,405,385,385,385,100,,,,
22/08/1980,390,405,390,390,390,100,,,,
25/08/1980,390,390,390,390,390,0,,,,
26/08/1980,390,400,385,385,385,300,,,,
27/08/1980,385,405,385,385,385,100,,,,
28/08/1980,385,395,380,380,380,300,,,,
29/08/1980,380,380,380,380,380,0,,,,
02/09/1980,380,380,380,380,380,0,,,,
03/09/1980,380,380,380,380,380,0,,,,
04/09/1980,380,380,380,380,380,0,,,,
05/09/1980,380,380,380,380,380,0,,,,
08/09/1980,390,405,390,390,390,100,,,,
09/09/1980,390,390,390,390,390,0,,,,
10/09/1980,390,390,390,390,390,0,,,,
11/09/1980,400,410,400,400,400,100,,,,
12/09/1980,400,415,400,400,400,100,,,,
15/09/1980,400,400,400,400,400,0,,,,
16/09/1980,400,415,400,400,400,200,,,,
17/09/1980,400,400,400,400,400,0,,,,
18/09/1980,400,400,400,400,400,0,,,,
19/09/1980,400,400,400,400,400,0,,,,
22/09/1980,400,415,400,400,400,100,,,,
23/09/1980,400,400,400,400,400,0,,,,
24/09/1980,400,405,390,390,390,200,,,,
25/09/1980,390,405,385,385,385,100,,,,
26/09/1980,385,385,385,385,385,0,,,,
29/09/1980,385,400,385,385,385,100,,,,
30/09/1980,385,385,385,385,385,0,,,,
01/10/1980,385,385,385,385,385,0,,,,
02/10/1980,385,385,385,385,385,0,,,,
03/10/1980,385,400,385,385,385,100,,,,
06/10/1980,390,405,390,390,390,200,,,,
07/10/1980,390,410,390,390,390,200,,,,
08/10/1980,390,390,390,390,390,0,,,,
